BARCODE,ITEM CODE,DESCRIPTION 1,DESCRITION 2,DESCRIPTION 3,UNITS,DIVISION,GROUP,CLASSIFICATION 1,CLASSIFICATION 2, COST , SELLING PRICE , MODEL QUANTITY ,SUPPLIER CODE,MANUFACTURER, QUANTITY , REORDER POINT 
,GMP3-TB,GMP3,,,50 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,," 1,052.00 "," 1,140.00 ",,UNAHCO FEEDS,, 5 ,
,GMP3-TB,GMP3,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 21.04 , 24.50 ,,UNAHCO FEEDS,, 28 ,
,GMP4-TB,GMP4,,,50 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,," 1,002.00 "," 1,090.00 ",,UNAHCO FEEDS,, 8 ,
,GMP4-TB,GMP4,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 20.04 , 23.50 ,,UNAHCO FEEDS,, 64 ,
,CBC-SSAG,CHICK BOOSTER CRUMBLES,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 818.16 , 880.00 ,,SAGUPAAN,, 2 ,
,CBC-SSAG,CHICK BOOSTER CRUMBLES,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 34.09 , 38.50 ,,SAGUPAAN,, 6 ,
,BSDC-SAG,BABY STAG DEVELOPER CRUMBLES,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 818.16 , 880.00 ,,SAGUPAAN,, 2 ,
,BSDC-SAG,BABY STAG DEVELOPER CRUMBLES,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 34.09 , 38.50 ,,SAGUPAAN,, 7 ,
,SDP-SAG,STAG DEVELOPER PELLETS,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 797.76 , 860.00 ,,SAGUPAAN,, 3 ,
,SDP-SAG,STAG DEVELOPER PELLETS,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 33.24 , 37.50 ,,SAGUPAAN,, 11 ,
,RTF-SAG,READY-TO-FIGHT,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 928.32 ," 1,000.00 ",,SAGUPAAN,, 2 ,
,RTF-SAG,READY-TO-FIGHT,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 38.68 , 43.00 ,,SAGUPAAN,, 16 ,
,HA-SAG,HI-ACTION,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 663.12 , 715.00 ,,SAGUPAAN,, 4 ,
,HA-SAG,HI-ACTION,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 27.63 , 31.00 ,,SAGUPAAN,, 22 ,
,WL-SAG,WINNING LINE,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,," 1,050.72 "," 1,130.00 ",,SAGUPAAN,,,
,WL-SAG,WINNING LINE,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 43.78 , 49.00 ,,SAGUPAAN,, 16 ,
,BP-SAG,BREEDER PELLETS,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 797.76 , 860.00 ,,SAGUPAAN,,,
,BA-SAG,BREEDER PELLETS,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,SAGUPAAN,, 33.24 , 37.50 ,,SAGUPAAN,,,
,BERDUGO-PB,BERDUGO,,,25KG,POULRTY SUPPLY,FIGHTING COCK FEEEDS,,," 1,131.50 "," 1,255.00 ",,CLDS,,,
,BERDUGO-PB,BERDUGO,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,,, 45.26 , 52.50 ,,CLDS,, 8 ,
,ALPO PC,ALPO PRIME CUT,,,16.81KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,521.74 "," 1,675.00 ",,LEROI,,,
,ALPO PC,ALPO PRIME CUT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 90.53 , 105.00 ,,LEROI,,,
,ALPO ADULT,ALPO ADULT,,,10KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,160.13 "," 1,300.00 ",,LEROI,,,
,ALPO ADULT,ALPO ADULT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 116.01 , 135.00 ,,LEROI,,,
,ALPO PUP,ALPO PUP,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,811.63 "," 1,995.00 ",,LEROI,,,
,ALPO PUP,ALPO PUP,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 120.78 , 140.00 ,,LEROI,, 5 ,
,ASPIN,ASPIN,,,20 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 863.50 , 970.00 ,, MAXIVETE ,,,
,ASPIN,ASPIN,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 43.18 , 55.00 ,, MAXIVETE ,,,
